,Crypto,South America,Asian Markets,Aviation,Pharma,Korea Conflict,Shipping,Automotive,Commodities,Energy,Insurance,Oil,China-US Trade Conflict,Steel,Real Estate & Living,Russia,Spain,Telecommunication,Logistic,Covid,Brexit,US Election,Italy,Foreign Exchange,IPO,IT,Startup,Semi-Conductors,Africa,Social Media,Connectivity,Media,Payment Solutions,Food & Beverage,Retail,Fashion,Sports,Poland,Balkan,Private Equity,Stock Markets,Oil countries,Turkey,Tax Evasion,France,Fixed Income,Education,Iran Conflict,EU,Greece Dept Crisis,Egypt,Fed,Economic Forecast,ECB,Brithish Banks,Wall Street Banks,Libya,Refugees,Isreael-Palestina Conflict,US Stock Market,Swiss Banks,Taliban,Health,Syria,Iraq,German local Banks,German Banks,German Financial Politics,Asset Management,Family Politics,Worker Union,Pension,Social System,German Stock Market,German Right Wing Parties,German Parties,Date
0,0,0.006057269,0.014867841,0.011563877,0.004405286,0.004955947,0.004955947,0.011013216,0.00660793,0.001101322,0.009361233,0.002202643,0.002202643,0.002202643,0.011563877,0.001101322,0.014867841,0.009911894,0.010462555,0.002753304,0.002753304,0.010462555,0.000550661,0,0.000550661,0.019273128,0.000550661,0.009361233,0.002202643,0.004405286,0.004405286,0.012114537,0,0.000550661,0.001651982,0.002202643,0.000550661,0.001651982,0.004405286,0.002202643,0.001651982,0.005506608,0.025881057,0.004955947,0.001651982,0,0,0.001651982,0.01376652,0.002753304,0.000550661,0.006057269,0.000550661,0.035242291,0.013215859,0.004955947,0.009361233,0.000550661,0.002202643,0.014317181,0.000550661,0.009361233,0.004405286,0.002753304,0.005506608,0.018722467,0.006057269,0.002753304,0.007709251,0.00715859,0.005506608,0.028634361,0,0.011563877,0.013215859,0.075440529,31.01.04
1,0,0.006582278,0.019240506,0.014683544,0.00556962,0.008101266,0.009620253,0.008101266,0.012151899,0.001012658,0.021265823,0.001518987,0.001012658,0.000506329,0.013670886,0.002025316,0.010126582,0.015189873,0.006075949,0.002531646,0.003544304,0.003544304,0.001518987,0.000506329,0,0.022278481,0,0.012658228,0.001518987,0.001518987,0.004556962,0.012151899,0,0.002025316,0.003544304,0.004556962,0.000506329,0.006582278,0.002531646,0.002025316,0.003037975,0.002531646,0.025822785,0.009113924,0.004556962,0.000506329,0,0.001518987,0.012151899,0.003544304,0.002531646,0.000506329,0.002025316,0.036455696,0.009620253,0.007088608,0.008101266,0.003544304,0.001518987,0.008607595,0,0.006582278,0.005063291,0.004050633,0.007594937,0.012151899,0.010126582,0,0.008101266,0.004556962,0.005063291,0.025822785,0,0.006075949,0.032405063,0.085063291,29.02.04
2,0,0.005469915,0.035305818,0.017404276,0.008950771,0.008453506,0.006961711,0.006961711,0.012928891,0.00298359,0.023868722,0.002486325,0,0.00099453,0.008453506,0.00099453,0.008950771,0.018896072,0.002486325,0.003480855,0.004475385,0.003480855,0.00198906,0.000497265,0.000497265,0.024863252,0.000497265,0.007458976,0.002486325,0.002486325,0.00397812,0.010939831,0.002486325,0.00298359,0.000497265,0.00198906,0,0.001491795,0.00497265,0.005469915,0.002486325,0.001491795,0.019890602,0.002486325,0.00198906,0.001491795,0,0.001491795,0.010442566,0.00497265,0.00099453,0.002486325,0,0.026852312,0.018398807,0.015415216,0.011437096,0.000497265,0.007458976,0.002486325,0.000497265,0.008453506,0.006961711,0.000497265,0.004475385,0.012928891,0.00298359,0.000497265,0.001491795,0.009448036,0.00497265,0.028344107,0,0.008453506,0.021879662,0.063649925,31.03.04
3,0,0.008161306,0.014402304,0.017762842,0.008641383,0.004320691,0.009601536,0.008641383,0.005280845,0.001920307,0.011041767,0.002400384,0.000960154,0.002880461,0.000960154,0.002880461,0.008161306,0.013922228,0.004320691,0.002400384,0.002880461,0.005760922,0.002880461,0,0.000480077,0.024483917,0.000480077,0.008641383,0.000960154,0.00144023,0.001920307,0.011521843,0.00144023,0.002400384,0.00144023,0.001920307,0,0.000960154,0.005760922,0.000480077,0.00144023,0.00144023,0.024963994,0.000960154,0.00144023,0,0,0.002880461,0.012962074,0.009601536,0.000960154,0.003360538,0.00144023,0.038406145,0.009121459,0.012962074,0.011521843,0.000960154,0.002880461,0.009121459,0.00144023,0.028804609,0.001920307,0.003840614,0.003360538,0.006721075,0.002880461,0.000480077,0.005280845,0.005280845,0.006240999,0.029764762,0,0.002880461,0.007681229,0.066730677,30.04.04
4,0,0.007877893,0.015263417,0.018217627,0.020679468,0.008370261,0.006893156,0.007385524,0.010832102,0.000492368,0.017725258,0.004923683,0.000492368,0.000984737,0.004431315,0,0.005416051,0.019694732,0.003446578,0.004431315,0.007385524,0.003938946,0.005908419,0.000492368,0.000492368,0.020679468,0.000492368,0.007877893,0.00295421,0.00295421,0.00295421,0.011324471,0.001969473,0.001477105,0.002461841,0.004431315,0.002461841,0.00295421,0.004431315,0,0.004431315,0,0.0403742,0.000492368,0.001969473,0.000492368,0,0.00295421,0.007385524,0.006400788,0.001477105,0.001969473,0.000984737,0.018217627,0.013786312,0.016740522,0.007877893,0.00295421,0.003938946,0.008862629,0.000984737,0.016740522,0.007877893,0.002461841,0.006400788,0.019694732,0.007877893,0.000492368,0.00295421,0.003446578,0.002461841,0.021664205,0.000492368,0.003938946,0.01427868,0.0605613,31.05.04
5,0,0.008426966,0.018459069,0.016051364,0.021669342,0.007223114,0.009229535,0.007624398,0.012439807,0.000401284,0.01565008,0.002808989,0.000401284,0.002006421,0.008426966,0.000802568,0.00682183,0.012439807,0.006019262,0.001203852,0.004012841,0.003611557,0.003611557,0,0,0.014044944,0.001203852,0.00882825,0.002006421,0.001203852,0.003210273,0.010433387,0.002407705,0.001605136,0.000802568,0.003611557,0.000401284,0.00682183,0.005216693,0,0.002407705,0.002407705,0.032905297,0.004414125,0.013242376,0,0,0.005617978,0.009630819,0.005216693,0.001203852,0.002407705,0.001605136,0.026083467,0.010433387,0.00882825,0.009630819,0.000401284,0.006019262,0.012439807,0,0.019261637,0.007223114,0.004012841,0.005216693,0.015248796,0.002006421,0,0.004815409,0.003210273,0.00882825,0.02046549,0,0.007223114,0.016853933,0.07423756,30.06.04
6,0,0.0066313,0.014146773,0.017683466,0.008399646,0.006189213,0.007515473,0.016357206,0.024756852,0.001768347,0.013704686,0.002210433,0.00132626,0.002210433,0.019009726,0.00795756,0.004862953,0.005747126,0.007515473,0.003094607,0.00132626,0.00530504,0.008399646,0.000442087,0.000442087,0.012820513,0.00132626,0.007515473,0.00530504,0.00530504,0.004862953,0.016799293,0.000884173,0.000442087,0.00132626,0.003094607,0.000442087,0.002210433,0.007073386,0.001768347,0.001768347,0.00132626,0.031830239,0.000884173,0.00397878,0.000442087,0.000442087,0.002210433,0.008399646,0.003094607,0.000884173,0.00265252,0,0.030946065,0.010167993,0.015915119,0.007515473,0,0.004420866,0.013704686,0.000442087,0.012378426,0.004420866,0.000884173,0.003536693,0.004862953,0.00530504,0.004420866,0.004420866,0.002210433,0.016799293,0.022104332,0,0.004862953,0.014588859,0.069407604,31.07.04
7,0,0.00826087,0.016521739,0.020869565,0.024782609,0.00826087,0.005652174,0.011304348,0.02,0.001304348,0.013043478,0.002173913,0,0.000869565,0.006521739,0.000434783,0.004347826,0.022173913,0.003913043,0.002608696,0.008695652,0.002173913,0.007391304,0.000434783,0.000434783,0.020869565,0.000869565,0.009565217,0.003913043,0.002608696,0.004782609,0.013043478,0.001304348,0.000869565,0.000869565,0.003913043,0,0.000869565,0.003913043,0.000869565,0.002173913,0.002608696,0.029565217,0.001304348,0.003043478,0.000869565,0,0.002173913,0.010869565,0.004782609,0.001304348,0.000434783,0.002608696,0.019130435,0.006521739,0.009565217,0.009565217,0.00173913,0.004347826,0.022608696,0,0.02826087,0.004782609,0.00173913,0.002173913,0.006521739,0.003913043,0.000869565,0.00173913,0.000869565,0.017391304,0.02,0,0.012608696,0.026521739,0.045652174,31.08.04
8,0,0.004045307,0.028317152,0.017394822,0.01618123,0.00566343,0.010517799,0.013754045,0.029530744,0.001618123,0.014563107,0.004045307,0,0.002022654,0.004045307,0.000404531,0.000809061,0.008899676,0.00566343,0.003640777,0.002022654,0.006067961,0.004854369,0.000809061,0,0.021440129,0.001618123,0.008090615,0.011731392,0.002022654,0.002427184,0.010517799,0.000404531,0.001618123,0,0.001618123,0,0.011731392,0.006067961,0.000404531,0.002022654,0.00566343,0.029126214,0.006472492,0.000404531,0.003640777,0,0.002022654,0.008090615,0.003640777,0,0.002831715,0.001618123,0.020631068,0.008899676,0.011731392,0.009304207,0.001618123,0.006067961,0.009304207,0,0.016585761,0.003640777,0.002831715,0.007686084,0.012135922,0.006877023,0.002022654,0.004045307,0.004045307,0.014967638,0.025080906,0,0.007686084,0.03802589,0.079692557,30.09.04
9,0,0.004856512,0.018543046,0.016777042,0.015011038,0.007505519,0.011479029,0.014128035,0.012362031,0.001324503,0.018543046,0.003090508,0.001324503,0.000441501,0.005298013,0.002207506,0.002649007,0.013245033,0.007064018,0.005298013,0.003532009,0.005298013,0.001324503,0,0.000441501,0.016777042,0.001766004,0.005739514,0.014128035,0,0.004415011,0.007505519,0.000883002,0.001766004,0.000883002,0.003090508,0.000441501,0.014128035,0.003532009,0,0.003090508,0.001324503,0.034437086,0.002649007,0.002207506,0.000883002,0,0.000441501,0.008830022,0.005298013,0.000883002,0.003090508,0.002207506,0.023399558,0.011037528,0.013245033,0.00794702,0.000441501,0.009271523,0.007505519,0,0.013686534,0.004856512,0.001766004,0.00794702,0.011037528,0.004856512,0.002207506,0.005739514,0.005298013,0.005739514,0.018543046,0,0.006622517,0.029139073,0.085209713,31.10.04
10,0,0.005541347,0.021312873,0.017902813,0.006820119,0.005967604,0.011508951,0.017902813,0.031116795,0.002557545,0.018755328,0.00341006,0.000426257,0.000852515,0.009803922,0.003836317,0.006393862,0.018755328,0.00511509,0.000852515,0.00341006,0.004262575,0.005967604,0,0.000426257,0.015771526,0.000852515,0.006393862,0.003836317,0.002983802,0.00341006,0.010656436,0,0.002557545,0.000426257,0.002557545,0,0.002557545,0.003836317,0.000852515,0.002557545,0.003836317,0.035379369,0.006393862,0.00170503,0.00170503,0,0.00170503,0.005541347,0.00341006,0.000426257,0.001278772,0.000852515,0.024296675,0.013213981,0.026427962,0.008525149,0.002131287,0.00170503,0.008951407,0,0.023017903,0.00341006,0.001278772,0.008525149,0.012361466,0.006820119,0,0.002131287,0.005967604,0.002983802,0.02344416,0,0.007246377,0.013213981,0.061381074,30.11.04
