,Crypto,South America,Asian Markets,Aviation,Pharma,Korea Conflict,Shipping,Automotive,Commodities,Energy,Insurance,Oil,China-US Trade Conflict,Steel,Real Estate & Living,Russia,Spain,Telecommunication,Logistic,Covid,Brexit,US Election,Italy,Foreign Exchange,IPO,IT,Startup,Semi-Conductors,Africa,Social Media,Connectivity,Media,Payment Solutions,Food & Beverage,Retail,Fashion,Sports,Poland,Balkan,Private Equity,Stock Markets,Oil countries,Turkey,Tax Evasion,France,Fixed Income,Education,Iran Conflict,EU,Greece Dept Crisis,Egypt,Fed,Economic Forecast,ECB,Brithish Banks,Wall Street Banks,Libya,Refugees,Isreael-Palestina Conflict,US Stock Market,Swiss Banks,Taliban,Health,Syria,Iraq,German local Banks,German Banks,German Financial Politics,Asset Management,Family Politics,Worker Union,Pension,Social System,German Stock Market,German Right Wing Parties,German Parties,Date
0,0,-0.000714342,-0.000233592,-0.001935993,-0.00111786,0.001454105,0.001716935,-0.000597423,-0.001368669,0.000653124,-4.89E-06,0.000467297,-0.001614142,-0.000362298,-0.00172392,-0.000824801,-0.007866256,0.001111615,0.002477676,3.57E-06,-0.000557214,0.002165988,8.14E-05,0,-0.000513512,-0.001383952,0.000320212,0.001399697,-0.001054436,-0.002137039,0.000369031,-0.001588418,0,-0.000307721,0.000836225,0.000892649,0.000391817,0.00016296,-0.000858126,2.66E-06,0.000508317,-0.000144844,-0.004231108,-0.001254392,9.29E-05,0,0,0.000369321,0.002134306,-0.000687467,-0.000413069,0.002076126,-1.05E-05,0.000792373,-0.002840149,-0.001654413,-0.001499988,1.57E-05,-0.00102226,-0.006140365,0.000160214,-0.005327575,-0.000877558,-0.000366593,0.000635426,-0.002138744,0.001842266,-0.000222854,-0.002669333,-0.002439178,-0.001416592,-0.000564345,0,0.000310334,-0.0039036,-0.00695836,31.01.04
1,0,-0.001619585,-0.002222542,0.000583433,-4.31E-05,0.000181321,7.29E-05,-0.000786085,-0.002922086,0.000278536,0.002331777,0.000559112,-0.000471127,-0.000248502,-0.001302655,-0.000921672,-0.004388581,0.000677198,-0.001559355,0.000209758,-0.000929751,0.001130964,-0.000721042,0.000450457,0,0.000146558,0,-0.000224289,-0.000496721,0.00084165,0.000179715,-4.00E-05,0,-0.000362528,-0.000313266,0.000939026,3.04E-06,0.000318524,-0.000334819,-0.000897215,-0.00028605,2.54E-05,-0.003264987,-0.001526291,-0.000898031,3.20E-07,0,0.000726437,-0.000870662,-0.000819794,0.000551021,5.16E-05,0.000907692,-0.001726369,-0.002100066,-0.003159571,-0.003817714,0.000851496,-0.00068095,-0.000844114,0,-0.002126115,-7.53E-05,-0.000540049,-0.000398914,-0.002594346,0.00094851,0,-0.002905807,-0.000726655,-0.001205048,-0.002156992,0,-0.001486418,-0.008231904,-0.005030975,29.02.04
2,0,0.000577165,-0.003143312,0.002437131,-0.002201566,-0.002604309,-0.000979619,-7.40E-05,-0.000984935,-0.000220137,0.000870788,0.001143082,0,-0.000137535,-0.000269703,-0.000846473,-0.005481322,-0.002370606,0.001643312,-0.000600359,0.000343684,0.001054618,-0.000682316,5.36E-07,-6.05E-05,0.003353573,-0.000443513,-0.001026528,-0.001235981,-0.000712771,0.000470788,-0.002814626,-0.001369649,-0.001873876,-9.46E-05,0.000422297,0,0.0001608,-0.000776135,-0.000971158,-0.000387993,-0.000430636,0.00113593,-0.000764434,0.000593159,-0.000390737,0,-0.000694998,-0.002498593,-0.001277447,0.000418766,0.000754037,0,0.003720776,-0.005234283,-0.004819384,-0.0067446,-0.000470642,-0.000643283,-0.000919949,-0.000417319,-0.003255201,5.23E-05,-0.000434009,0.000701255,-0.001811496,0.000560081,-1.15E-05,-0.000665503,-0.002287513,-0.000804381,-0.006002591,0,-0.000365381,-0.004152641,-0.002324282,31.03.04
3,0,-0.000833538,0.000558152,0.002144026,-0.001735805,-0.001349922,-0.004462213,-9.49E-06,0.000550194,2.87E-05,-0.00352617,0.000908524,-0.000525261,-0.000994099,6.20E-06,2.66E-05,-0.00145362,-0.000674736,0.002439586,-0.000218442,-0.000310946,0.001194073,-0.001396338,0,0.000377945,-0.001326822,2.20E-06,0.002525022,-0.000410131,0.001232816,-0.000961828,-0.004308803,-0.000713926,-0.0008633,-0.000520057,-0.000793207,0,2.52E-05,-0.001545248,9.71E-05,-0.000405842,7.96E-05,0.005961859,-0.000370686,-0.000279334,0,0,-0.000151127,0.000479014,-0.000482676,-4.39E-06,0.002142156,-3.92E-05,0.007544516,-0.003214912,-0.004898767,-0.001295722,3.31E-05,0.000149428,-0.002238068,-0.000540574,-0.013723849,-0.000160345,-0.001142694,0.001127269,-0.001760895,0.000833656,-0.000365284,-0.003267263,-0.001049976,-0.002184522,-0.004433888,0,0.00051599,-0.001708767,0.001795418,30.04.04
4,0,-0.001895108,-0.000400684,0.003247503,-0.003165266,-0.001108561,0.000719834,-0.000728668,-0.001168341,2.11E-05,0.001704408,0.000204283,-3.33E-05,-0.000185879,-0.000660684,0,-0.00290702,0.001083744,-0.000905229,-0.000218723,-0.00120876,-7.56E-05,-0.002827624,7.82E-07,-0.000437498,0.001608473,-3.34E-05,0.00215424,-0.002071716,0.000344415,-0.000177829,-0.00347726,-0.000349864,-0.00035699,0.00010833,0.001843364,3.96E-05,0.000126945,-0.001527305,0,-0.000274873,0,0.001922558,-0.000132026,-0.000117075,-0.000349249,0,-0.000384887,-0.001193268,0.000592613,0.000816389,0.000861465,-0.00052694,0.002035554,-0.002725356,-0.007976161,-0.003138102,0.000448223,-0.001997233,-0.002230045,-0.000167789,-0.007956588,0.000869125,-0.000761458,0.001873094,-0.004849365,0.000119119,7.33E-06,-0.000925984,-0.000447217,-0.000614047,-0.005857349,-0.000257048,0.000280812,-0.002178179,-0.000777582,31.05.04
5,0,-0.000560742,-0.001397396,0.000701077,-0.006790105,-0.000489939,0.000472445,-0.000889469,-0.002746611,0.000286578,-0.000236981,-0.000905757,-0.00021709,-0.000205565,-0.001966317,-0.000328932,-0.002694335,0.001131051,0.000649353,-0.000307378,-0.000540406,0.000507927,-0.001478589,0,0,0.000252945,-9.76E-05,-0.001235093,-0.000727933,-0.000375636,0.000736581,-0.000755066,-0.000222511,-0.000394419,-0.000431286,-0.000124407,-0.000232831,-0.000736328,-0.000466244,0,0.00052576,-3.64E-05,-0.000701528,-0.001526825,-0.00054144,0,0,0.000406165,0.002589741,-0.001513394,-0.000947915,0.000653111,-0.000365775,-0.000304659,-0.000894971,-0.003912512,-0.001549505,-0.000149998,-0.002317537,-0.000180843,0,-0.006597661,0.000465743,-0.00100002,-0.00019154,-0.002143286,-0.000111306,0,-0.001929243,-0.000498262,-0.001355768,0.000871108,0,-0.000225858,-0.003972715,-0.010293723,30.06.04
6,0,-0.002007478,0.001624977,0.001188351,-0.000242003,-0.000610966,-0.000633149,-0.001677617,-0.007890591,0.000836258,-0.000203056,8.38E-05,0.000137367,-0.001117768,-0.001906828,-0.002594547,-0.002575791,0.001599191,-0.000229941,-0.000226637,0.000112117,-0.0017961,-0.00145039,-0.000138406,-0.000320997,0.000248827,0.00088729,-0.000635572,-0.001691088,-0.000105748,0.000944019,-0.002401492,0.000383185,-0.000224884,-0.00014698,0.0008523,0.000334227,-0.000508344,-0.002773609,-0.000151297,0.000349071,0.000206884,0.000579049,-5.91E-05,0.000287827,3.92E-05,-2.95E-05,-0.000328847,0.000686379,-0.000121148,1.66E-05,0.00022547,0,0.004096018,-0.002278803,-0.006364195,-0.004297634,0,-0.001934515,5.79E-05,3.35E-05,-0.005608938,-0.000775796,-0.000105273,-0.002039348,-0.001468403,0.000190697,-0.000577009,-0.000415176,-0.000116788,-0.003955398,-0.006547911,0,-0.000715381,-0.005800799,-0.011693707,31.07.04
7,0,-0.000966019,0.002156598,0.001240456,-0.000441143,0.000711777,0.001413045,-0.00092898,-0.006548786,0.000169182,2.58E-05,0.001292154,0,-0.000661468,-0.001830819,-0.000320406,-0.001657062,0.004864308,0.000120756,-0.000721859,-0.002095859,0.000425693,-0.002091223,9.58E-06,1.34E-06,0.000777621,5.20E-06,0.000759861,-0.001950108,0.000958728,0.0006747,-0.000893218,-3.97E-05,-0.000426846,-0.000366726,-0.001280904,0,6.76E-10,-0.000764392,-3.71E-05,0.000551169,-0.000737543,-0.001830327,-5.32E-05,0.00025971,0.000402536,0,-0.00076296,-0.003044648,-0.000905925,0.001167408,2.22E-06,0.000583678,0.00433488,-0.001785279,-0.004811598,-0.003577013,-0.000908952,-0.00208385,-0.002841559,0,-0.011635543,-0.000378058,-0.000864293,-0.000140861,-0.001795657,0.000432749,4.19E-06,-0.000793593,1.09E-05,-0.003777783,-0.007131798,0,0.001069718,-0.006814246,-0.003164602,31.08.04
8,0,-7.77E-05,-0.00046959,-0.002819058,-0.002489707,-0.000691742,0.002066929,-0.001773453,-0.008304849,0.000566589,0.000436593,0.000197907,0,-0.00091907,-0.000126167,-1.64E-06,-0.000539893,0.001081491,0.000672357,0.000213918,-0.001042427,-0.002555016,-0.001516148,-0.000313789,0,-0.002683658,4.43E-05,-0.000651906,-0.003265652,-0.000596135,-0.00017229,-0.002609286,-0.000122653,-0.000641316,0,-0.000122617,0,-0.001648084,-0.001950111,-5.16E-06,-8.66E-05,-0.001527491,-0.003056217,-0.00093458,-1.92E-06,-0.001315757,0,0.000221776,-0.000255646,2.46E-05,0,3.16E-05,0.000406744,0.001966091,-0.003276976,-0.003755503,-0.003753752,0.000583513,-0.002420936,-0.002216942,0,-0.009650774,0.00060986,-0.000269735,-0.000677727,-0.001388396,0.001527455,-0.000264966,-0.001850878,-5.51E-05,-0.003200345,-0.003950494,0,-0.00078798,-0.005389202,-0.009316504,30.09.04
9,0,-0.000113891,0.000802141,-0.001698154,-0.000917138,-0.001004124,-0.000749972,-0.002286897,-0.003496998,-0.000140374,-0.00177795,-0.000537453,-0.000503015,-4.39E-05,-0.000768659,-0.00070365,-0.000939861,0.000183806,-0.000163995,-0.0001047,-0.000362654,-0.000943483,-0.000335605,0,0.00039614,0.001347219,-0.000206558,-0.000641873,-0.005012064,0,0.00023908,-0.003370475,-9.98E-05,-0.000800424,0.000292085,-2.35E-06,1.55E-05,-0.001180008,-0.000701966,0,-0.000989764,-0.000762434,-0.00112134,-0.000467392,-0.000680998,-0.000347971,0,-1.03E-06,-0.00248609,-0.00092893,-0.000403997,-0.000799488,0.000339099,0.001555984,-0.001713487,-0.004064457,-0.004851468,-0.000382941,-0.002218464,-0.002076359,0,-0.005586019,-0.000518342,-0.000320406,-6.48E-05,-0.002201198,0.000860441,-0.000288808,-0.001989009,-0.001375842,-0.001528755,-0.003828053,0,0.000356748,-0.004367304,-0.025663594,31.10.04
